,Face ID,Confirmed Name,Notes / Role,Confirm Status,Reference Photo (URL),Total Count
,1,,Executive Sponsor,Yes,https://drive.google.com/file/d/1x6I4OrCl8nygGMfkXssmP8I3SWlv6uKo/view,2
,2,,Content Specialist,Yes,https://drive.google.com/file/d/1UUPzXvia1lKmngXLnLj1n7M8Ex3rgIDE/view,2
,3,,Detected in 5 recent videos,No,https://drive.google.com/file/d/1Q4VvmBpckzELD-oMIy86xqODw8LkmJRt/view,2
,4,,Technical Architect,Yes,https://drive.google.com/file/d/1iSr8bC2UQCz_kcVA4je9uB6TY-O1h5BO/view,2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
